Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
Latvia,Talsi,33,Good,1,Good,33,Good,0,Good,23,Good,Talsi,Talsi,57.2444,22.5867,Latvia,LV,LVA,Talsi,admin,8649.0,1428411666.0
Italy,Taormina,81,Moderate,1,Good,44,Good,0,Good,81,Moderate,Taormina,Taormina,37.8518,15.2857,Italy,IT,ITA,Sicilia,,10471.0,1380790975.0
Mexico,Tapachula,82,Moderate,2,Good,31,Good,2,Good,82,Moderate,Tapachula,Tapachula,14.9,-92.2667,Mexico,MX,MEX,Chiapas,minor,217550.0,1484997178.0
Turkey,Tarsus,43,Good,1,Good,43,Good,0,Good,29,Good,Tarsus,Tarsus,36.9165,34.8951,Turkey,TR,TUR,Mersin,minor,350732.0,1792003860.0
India,Navalgund,39,Good,1,Good,23,Good,2,Good,39,Good,Navalgund,Navalgund,15.57,75.37,India,IN,IND,Karnātaka,,24613.0,1356120941.0
Germany,Nettetal,51,Moderate,1,Good,38,Good,1,Good,51,Moderate,Nettetal,Nettetal,51.3167,6.2833,Germany,DE,DEU,North Rhine-Westphalia,,43425.0,1276049262.0
Germany,Neutraubling,63,Moderate,1,Good,54,Moderate,0,Good,63,Moderate,Neutraubling,Neutraubling,48.9936,12.1953,Germany,DE,DEU,Bavaria,,14614.0,1276485988.0
Mali,Nioro,182,Unhealthy,1,Good,37,Good,0,Good,182,Unhealthy,Nioro,Nioro,15.1833,-9.55,Mali,ML,MLI,Kayes,minor,60112.0,1466532076.0
Japan,Nishiwaki,70,Moderate,2,Good,22,Good,14,Good,70,Moderate,Nishiwaki,Nishiwaki,34.9903,134.9722,Japan,JP,JPN,Hyōgo,,38479.0,1392948535.0
South Africa,Nkowakowa,52,Moderate,1,Good,26,Good,1,Good,52,Moderate,Nkowakowa,Nkowakowa,-23.886,30.293,South Africa,ZA,ZAF,Limpopo,,22484.0,1710288921.0
